"Report Date","Borough","Community Districts","Census Type","Adult Family Commercial Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Commercial Hotel","Family Cluster","Family with Children Commercial Hotel","Family with Children Shelter"
"05/31/2026","Bronx","1","Individuals",,,"646","155",,"225","1,441"
"05/31/2026","Queens","9","Individuals",,,"109",,,,
"05/31/2026","Staten Island","1","Individuals",,,"99","102",,"30","441"
"05/31/2026","Staten Island","2","Individuals",,,"43",,,,"198"
"05/31/2026","Queens","8","Individuals",,,"171",,,"127","287"
"05/31/2026","Queens","7","Individuals",,,"328",,,"74","107"
"05/31/2026","Queens","6","Individuals",,,"97",,,,"230"
"05/31/2026","Queens","5","Individuals",,,"196",,,,"191"
"05/31/2026","Queens","4","Individuals",,,,"245",,,"539"
"05/31/2026","Queens","3","Individuals",,"266",,"139",,"1,760","747"
"05/31/2026","Queens","2","Individuals",,"290","351","120",,"746","246"
"05/31/2026","Queens","14","Individuals",,"330","202","200",,"199",
"05/31/2026","Queens","13","Individuals",,"66","496","546",,,"582"
"05/31/2026","Queens","12","Individuals",,"291","955","641",,"5,485","1,175"
"05/31/2026","Queens","11","Individuals",,,"69","76",,,
"05/31/2026","Queens","10","Individuals",,,"172","165",,"446","185"
"05/31/2026","Queens","1","Individuals",,,"499","69",,"3,387","852"
"05/31/2026","Manhattan","9","Individuals",,,"24",,,,"604"
"05/31/2026","Manhattan","8","Individuals",,,"72",,,"505",
"05/31/2026","Manhattan","7","Individuals",,"193","442",,,"929","275"
"05/31/2026","Manhattan","6","Individuals",,,"138",,,"245","632"
"05/31/2026","Manhattan","5","Individuals",,"331","78","37",,"2,546","379"
"05/31/2026","Manhattan","4","Individuals","147",,"331","249",,"1,045","354"
"05/31/2026","Manhattan","3","Individuals",,,"531","138",,"82","100"
"05/31/2026","Manhattan","12","Individuals",,,"424",,,,
"05/31/2026","Manhattan","11","Individuals",,,"1,099",,,,"460"
"05/31/2026","Manhattan","10","Individuals",,,"793",,,,"620"
"05/31/2026","Manhattan","1","Individuals","237",,,,,,
"05/31/2026","Brooklyn","9","Individuals",,,"360",,,,"404"
"05/31/2026","Brooklyn","8","Individuals",,,"379","88",,,"572"
"05/31/2026","Brooklyn","7","Individuals",,,"337","415",,"285","320"
"05/31/2026","Brooklyn","6","Individuals",,"111","797","276",,"108","500"
"05/31/2026","Brooklyn","5","Individuals",,,"1,055","431",,"531","1,022"
"05/31/2026","Brooklyn","4","Individuals",,,"193","139",,"20","785"
"05/31/2026","Brooklyn","3","Individuals",,,"827","360",,"479","398"
"05/31/2026","Brooklyn","2","Individuals",,"43","705",,,,"332"
"05/31/2026","Brooklyn","18","Individuals",,"367",,,,"329","736"
"05/31/2026","Brooklyn","17","Individuals",,,"128","101",,,"1,492"
"05/31/2026","Brooklyn","16","Individuals",,,"883","599",,"292","2,236"
"05/31/2026","Brooklyn","15","Individuals",,,,"128",,"252","157"
"05/31/2026","Brooklyn","14","Individuals",,,"497",,,,"69"
"05/31/2026","Brooklyn","13","Individuals",,,,"74",,,"351"
"05/31/2026","Brooklyn","12","Individuals",,,"129",,,,"292"
"05/31/2026","Brooklyn","1","Individuals",,"170","1,126",,,"377",
"05/31/2026","Bronx","9","Individuals",,,"259",,,"287","1,512"
"05/31/2026","Bronx","8","Individuals",,,,,,,"553"
"05/31/2026","Bronx","7","Individuals",,,"781",,,"196","927"
"05/31/2026","Bronx","6","Individuals",,,"86","85",,"1,097","1,681"
"05/31/2026","Bronx","5","Individuals",,"199","686",,,"158","1,165"
"05/31/2026","Bronx","4","Individuals",,,"425","114",,"125","1,999"
"05/31/2026","Bronx","3","Individuals",,,"754","125",,,"1,195"
"05/31/2026","Bronx","2","Individuals",,"129",,,,,"770"
